text,service,metric,objective,remedy,claim,exception,definition,obligation,right,neither
"Service Credits will not entitle you to any refund or other payment from AWS.",0,0,0,0,1,0,0,0,0,1
"A Service Credit will be applicable and issued only if the credit amount for the applicable monthly billing cycle is greater than one dollar ($1 USD).",0,0,0,0,1,0,1,0,0,1
"Service Credits may not be transferred or applied to any other account.",0,0,0,0,1,0,0,1,0,0
"Credit Request and Payment Procedures To receive a Service Credit, you must submit a claim by opening a case in the AWS Support Center.",0,0,0,0,1,1,0,1,0,0
"You may only submit a claim under either the Region-Level SLA or the Instance-Level SLA, as these claims cannot be combined or stacked for a particular Single EC2 Instance.",0,0,0,0,1,0,1,0,0,1
"Your credit request must be received by us by the end of the second billing cycle after which the incident occurred and must include the information specified below for the Region-Level SLA and Instance-Level SLA, respectively.",0,0,0,0,1,1,0,1,0,0
"Region-Level SLA requests must include: 1.	the words “Amazon Compute SLA Credit Request – Region-Level Claim” in the subject line; 2.	the dates, times, and affected AWS region of each Unavailability incident that you are claiming; 3.	the resource IDs for Amazon EC2; and 4.	your request logs that document the errors and corroborate your claimed outage**.",1,0,0,0,1,1,0,1,0,0
"Instance-Level SLA requests must include:  1.	the words “Amazon Compute SLA Credit Request – Instance-Level Claim” in the subject line; 2.	the dates, times, and the affected AWS region and AZ of each Unavailability incident that you are claiming; 3.	the resource IDs for the affected Single EC2 Instances; and 4.	your request logs and other data necessary for AWS to validate your claimed outage**.",1,0,0,0,1,1,0,1,0,0
"If a claim under the Region-Level or Instance-Level SLA is confirmed by us as valid, we will issue you a Service Credit within one billing cycle following the month in which your request is confirmed by us.",0,0,0,0,1,1,0,0,1,0
"Your failure to provide the requested and other information as required above will disqualify you from receiving a Service Credit.",0,0,0,0,1,0,1,1,0,0
"Unless otherwise provided in the Agreement, this SLA sets forth your sole and exclusive remedies, and AWS’ sole and exclusive obligations, for any unavailability, non-performance, or other failure by us to provide Amazon EC2.",1,0,0,0,0,0,1,0,0,1
"The Region-Level SLA and Instance-Level SLA, respectively, do not apply to any unavailability, suspension or termination of Amazon EC2, or any other Amazon EC2performance issues, directly or indirectly.",0,0,0,0,0,0,1,0,0,1
"(i) caused by factors outside of our reasonable control, including any force majeure event or Internet access or related problems beyond the demarcation point of Amazon EC2;",0,0,0,0,0,0,1,0,0,1
"(ii) that result from any actions or inactions of you, including failure to acknowledge a recovery volume or respond to resource health concerns;",0,0,0,0,0,0,1,0,0,1
"(iii) that result from your equipment, software or other technology;",0,0,0,0,0,0,1,0,0,1
"(iv) arising from our suspension or termination of your right to use the applicable Amazon EC2 in accordance with the Agreement (collectively, the “Amazon Compute SLA Exclusions”).",0,0,0,0,0,0,1,0,0,1
"If availability is impacted by factors other than those used in our Monthly Uptime Percentage or Instance-Level Uptime Percentage calculation, then we may issue a Service Credit considering such factors at our discretion.",0,0,0,0,0,0,1,1,0,0
"•	“Availability Zone” and “AZ” mean an isolated location within an AWS region identified by a letter identifier following the AWS region code (e.g., us-west-1a).",1,0,0,0,0,0,0,0,0,1
"•	“Monthly Uptime Percentage” is calculated by subtracting from 100% the percentage of minutes during the month in which Amazon EC2 was in the state of Unavailability.",1,0,1,0,0,0,0,0,0,1
"•	“Instance-Level Uptime Percentage” is calculated by subtracting from 100% the percentage of minutes during the month in which a Single EC2 Instance was in the state of Unavailability.",1,0,1,0,0,0,0,0,0,1
"•	A “Service Credit” is a dollar credit, calculated as set forth above, that we may credit back to an eligible account.",1,0,0,0,1,0,0,0,0,1
"•	“Unavailable” and “Unavailability” mean:",1,0,0,0,0,0,0,0,0,1
"o	For the Instance-Level SLA, your Single EC2 Instance has no external connectivity.",1,0,0,0,0,0,0,0,0,1
"o	For the Region-Level SLA applicable to Amazon EC2, when all of your running instances deployed in two or more AZs in the same AWS region (or, if there is only one AZ in the AWS region, that AZ and an AZ in another AWS region) concurrently have no external connectivity.",1,0,0,0,0,0,0,0,0,1
"App Engine Service Level Agreement (SLA) During the Term of the agreement under which Google has agreed to provide Google Cloud Platform to Customer (as applicable, the ""Agreement"")",1,1,0,0,0,0,0,0,0,1
"the Covered Service will provide a Monthly Uptime Percentage to Customer of at least 99.95% (the ""Service Level Objective"" or ""SLO"").",0,1,1,1,0,0,0,1,0,0
"If Google does not meet the SLO, and if Customer meets its obligations under this SLA, Customer will be eligible to receive the Financial Credits described below.",0,0,0,1,1,0,0,0,1,0
"This SLA states Customer's sole and exclusive remedy for any failure by Google to meet the SLO.",0,0,0,0,1,0,0,0,1,0
"Capitalized terms used in this SLA, but not defined in this SLA, have the meaning set forth in the Agreement.",0,0,0,0,0,0,1,0,0,1
"If the Agreement authorizes the resale or supply of Google Cloud Platform under a Google Cloud partner or reseller program, then all references to Customer in this SLA mean Partner or Reseller (as applicable), and any Financial Credit(s) will only apply for impacted Partner or Reseller order(s) under the Agreement.",0,0,0,0,0,0,1,0,0,1
"The following definitions apply to the App Engine SLA:  ""Covered Service"" means the components of the Service listed at the following URL: https://cloud.google.com/appengine/sla_error_rate, or such other URL as may be provided by Google.",1,1,0,0,0,0,0,0,0,1
"""Downtime"" means more than a ten percent Error Rate.",1,0,0,0,0,0,0,0,0,1
"""Downtime Period"" means, for a Customer Application, a period of five consecutive minutes of Downtime.",1,0,0,0,0,0,0,0,0,1
"Intermittent Downtime for a period of less than five minutes will not be counted towards any Downtime Periods.",1,0,0,0,0,0,1,0,0,1
"""Error rate"" for the Service is defined with the Covered Services.",1,0,0,0,0,0,0,0,0,1
"""Financial Credit"" means the following: Monthly Uptime Percentage	Percentage of monthly bill for Covered Service which does not meet SLO that will be credited to future monthly bills of Customer 99.00% – < 99.95%	10% 95.00% – < 99.00%	25% < 95.00%	50% ",1,1,1,1,0,0,0,0,1,0
"Monthly Uptime Percentage"" means total number of minutes in a month, minus the number of minutes of Downtime suffered from all Downtime Periods in a month, divided by the total number of minutes in a month.",1,0,1,0,0,0,0,0,0,1
"Customer Must Request Financial Credit.",0,0,0,0,0,1,0,1,0,0
"In order to receive any of the Financial Credits described above, Customer must notify Google technical support within thirty days from the time Customer becomes eligible to receive a Financial Credit.",1,0,0,0,0,1,0,1,0,0
"Failure to comply with this requirement will forfeit Customer’s right to receive a Financial Credit.",0,0,0,0,0,0,1,0,0,1
"The aggregate maximum number of Financial Credits to be issued by Google to Customer for any and all Downtime Periods that occur in a single billing month will not exceed 50% of the amount due by Customer for the use of the Covered Service for the applicable month.,0,0,0,0,1,0,0,0,0,1
"Financial Credits will be made in the form of a monetary credit applied to future use of the Service and will be applied within 60 days after the Financial Credit was requested.",0,0,0,0,1,0,0,0,0,1
"The SLA does not apply to any: (a) features designated Alpha or Beta (unless otherwise set forth in the associated Documentation)", 0,0,0,0,0,0,1,0,0,1
"(b) features excluded from the SLA (in the associated Documentation),", 0,0,0,0,0,0,1,0,0,1
"or (c) errors: (i) caused by factors outside of Google’s reasonable control; (ii) that resulted from Customer’s software or hardware or third party software or hardware, or both; (iii) that resulted from abuses or other behaviors that violate the Agreement; or (iv) that resulted from being limited by quotas listed in the Admin Console.",0,0,0,0,0,0,1,0,0,1
"Oracle Cloud Infrastructure - Database Cloud The following table indicates which types of Service Level Agreements are applicable to an Oracle Cloud Infrastructure - Database Cloud Service SKU as indicated below by an “X” in the “Type of Service Level Agreement” column: SKU CLOUD SERVICE TYPE OF SERVICE LEVEL AGREEMENT AVAILABILITY MANAGEABILITY PERFORMANCE",0,0,0,0,0,0,0,0,0,1
"B88290 Oracle Database Cloud Service - Enterprise Edition - General Purpose - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B88291 Oracle Database Cloud Service - Enterprise Edition Extreme Performance - General Purpose - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B88292 Oracle Database Cloud Service - Enterprise Edition High Performance - General Purpose - OCPU Per Hour X X ",0,1,1,0,0,0,0,0,0,1
"B88293 Oracle Database Cloud Service - Standard Edition - General Purpose - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B88328 Oracle Cloud Infrastructure - Database Enterprise Edition - Additional Capacity - OCPU Per Hour X X ",0,1,1,0,0,0,0,0,0,1
"B88329 Oracle Cloud Infrastructure - Database Enterprise Edition High Performance - Additional Capacity - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B88330 Oracle Cloud Infrastructure - Database Enterprise Edition Extreme Performance - Additional Capacity - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B88331 Oracle Cloud Infrastructure - Database Standard Edition - Additional Capacity - OCPU Per Hour X X ",0,1,1,0,0,0,0,0,0,1
"B88404 Oracle Database Cloud Service - All Editions - BYOL - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B88846 Oracle Cloud Infrastructure - Database All Editions - Additional Capacity - BYOL - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B90569 Oracle Cloud Infrastructure - Database Cloud Service - Standard Edition - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B90570 Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B90571 Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition High Performance - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B90572 Oracle Cloud Infrastructure - Database Cloud Service - Enterprise Edition Extreme Performance - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"B90573 Oracle Cloud Infrastructure - Database Cloud Service - All Editions - BYOL - OCPU Per Hour X X",0,1,1,0,0,0,0,0,0,1
"Availability Service Level Agreement With respect to a Cloud Service listed above for which the Availability Service Level Agreement under this subsection applies, Oracle will use commercially reasonable efforts to have each such Service available with a Monthly Uptime Percentage (as defined below) of at least 99.9% during any calendar month (the “Service Commitment”).",0,1,1,1,0,0,0,1,0,0
"In the event an applicable Cloud Service listed above does not meet its Service Commitment for the Availability Service Level Agreement under this subsection, You will be eligible to receive Service Credits for such Non-Compliant Service, with the Service Credit Percentage determined as follows:",0,0,0,0,1,0,0,0,1,0
"Monthly Uptime Percentage Service Credit Percentage Less than 99.9% but equal to or greater than 99.0% 10% Less than 99.0% but equal to or greater than 95.0% 25% Less than 95.0% 100%",0,0,1,1,1,0,0,0,1,0
"The following terms apply to the Availability Service Level Agreement for the applicable Cloud Services listed above:",0,0,0,0,0,0,0,0,0,1
"“Monthly Uptime Percentage” is calculated by subtracting from 100%, the percentage of minutes during the calendar month in which the applicable Cloud Service was Unavailable (as defined below).",1,0,1,0,0,0,0,0,0,1
"“Unavailable” means, on a per-Availability Domain basis, any time when: (i) no virtual machine (or, where applicable, none of the virtual machines in a Real Application Cluster (RAC) configuration) of the applicable Cloud Service is able to receive a network connection from an application or a user, and (ii) no I/O operation can be issued to the block storage of such Cloud Service.",1,0,0,0,0,0,0,0,0,1
"This excludes circumstances resulting directly or indirectly from any Common Exclusion.",0,0,0,0,0,0,1,0,0,1
"Manageability Service Level Agreement With respect to a Cloud Service listed above for which the Manageability Service Level Agreement under this subsection applies, Oracle will use commercially reasonable efforts to have each such Service available with a Monthly Uptime Percentage (as defined below) of at least 99.9% during any calendar month (the “Service Commitment”).",0,1,1,1,0,0,0,1,0,0
"In the event an applicable Cloud Service listed above does not meet its Service Commitment for the Manageability Service Level Agreement under this subsection, You will be eligible to receive Service Credits for such Non-Compliant Service, with the Service Credit Percentage determined as follows:",0,0,0,0,1,0,0,0,1,0
"Monthly Uptime Percentage Service Credit Percentage Less than 99.9% but equal to or greater than 99.0% 10% Less than 99.0% but equal to or greater than 95.0% 25% Less than 95.0% 100%",0,0,1,1,1,0,0,0,1,0
"The following terms apply to the Manageability Service Level Agreement for the applicable Cloud Services listed above:",0,0,0,0,0,0,0,0,0,1
"“Control Plane API Error Rate” means, on a per Availability Domain basis, the percentage value corresponding to: (i) the total number of internal server errors returned by the applicable Cloud Service with an error status of “Internal Service Error” or “Service Unavailable” in a five-minute period during a calendar month divided by, (ii) the total number of Control Plane API requests made to such Cloud Service in such five-minute period.",1,0,0,0,0,0,0,0,0,1
"This excludes circumstances resulting directly or indirectly from any Common Exclusion.",0,0,0,0,0,0,1,0,0,1
"“Monthly Uptime Percentage” is calculated by subtracting from 100%, the average of the Control Plane API Error Rate for each five-minute period during the applicable calendar month.",1,0,1,0,0,0,0,0,0,1
"Service Level Agreement Last Updated: August 1, 2022 The following defined terms apply to this Service Level Agreement for the Services APIs (as defined below) (“SLA”).",1,1,0,0,0,0,0,0,0,1
"“Actual Monthly Uptime Percentage” = (A-B+C)/A, where:  A = Total Monthly Time (as defined below); B = Unavailable Monthly Time (as defined below); and C = Excluded Monthly Times (as defined below).",1,0,1,0,0,0,0,0,0,1
"“Monthly Uptime Percentage Threshold” means the applicable percentage set forth in the table in Section 2 (Service Commitments) of this SLA under the heading, “Monthly Uptime Percentage Threshold.”",1,0,1,0,0,0,0,0,0,1
"“SendGrid Services API” means the Mail Send application programming interface for the services branded as “SendGrid” or “Twilio SendGrid”.",1,1,0,0,0,0,0,0,0,1
"“Services APIs” means, collectively, the Twilio Services APIs (as defined below) and SendGrid Services API.",1,1,0,0,0,0,0,0,0,1
"“Service Credit” means the credit that Customer is eligible to request pursuant to Section 4 (Service Credit Request) of this SLA if (a) the Actual Monthly Uptime Percentage is less than the applicable Monthly Uptime Percentage Threshold or (b) there is a failure to achieve a Successful Connection Rate (as defined below).",1,0,0,0,0,0,0,0,0,1
"A Service Credit is calculated by multiplying the applicable percentage set forth in Section 2 (Service Commitments) of this SLA by (x) the fees Customer actually incurs for the affected Twilio Services APIs or (y) Customer’s email package fees for the affected SendGrid Services API, in either case, for the applicable calendar month.",1,0,0,0,0,0,0,0,0,1
"“Successful Connection Rate” means, in the applicable calendar month, a Web API v3 Mail send request by Customer that returns a “202” accepted response at a rate of at least, (a) with respect to emails originating from North America or South America, fifteen thousand (15,000) requests per second or (b) with respect to emails originating outside of North America or South America, ten thousand (10,000) requests per second.",1,1,0,0,0,0,1,0,0,1
"A Successful Connection Rate is conditioned on (x) Customer utilizing a sufficient number of concurrent connections to support such Successful Connection Rate; (y) Customer’s send requests not exceeding (i) with respect to emails originating from North America or South America, six (6) gigabits per second in the aggregate or (ii) with respect to emails originating outside of North America or South America, four (4) gigabits per second in the aggregate; and (z) Customer honoring Twilio's then-current time-to-live value for domain name system lookups of the Web API v3 Mail send address.",0,0,0,0,0,0,1,0,0,1
"“Total Monthly Time” means the total number of minutes in the applicable calendar month.",1,0,0,0,0,0,0,0,0,1
"“Twilio Services APIs” means the application programming interfaces branded as “Twilio”.",1,0,0,0,0,0,0,0,0,1
"“Unavailable Monthly Time” means the number of minutes in the applicable calendar month during which the Twilio Services APIs or SendGrid Services API, as applicable, were unavailable for use.",1,0,0,0,0,0,0,0,0,1
"2. Service Commitments  Applicable APIs	Monthly Uptime Percentage Threshold	Service Credit Services APIs  99.95%  10% credit equivalent  Twilio Services APIs during the calendar months in which Customer has purchased the Twilio Administration Edition or Twilio Enterprise Edition  99.99%  10% credit equivalent  SendGrid Services API during the calendar months in which Customer has purchased the Email Strategy - Gold, Enterprise Program Management, or Enterprise Program Management & Strategy package  99.99%  10% credit equivalent  ",0,0,1,1,1,0,0,0,1,0
"Furthermore, if Twilio fails to achieve a Successful Connection Rate for the SendGrid Services API during the calendar months in which Customer has purchased the Email Strategy - Gold, Enterprise Program Management, or Enterprise Program Management & Strategy package, Customer will be eligible to request a Service Credit equal to ten percent (10%).",0,0,0,0,1,0,0,0,1,0
"Customer may subscribe to email notifications for status updates at https://status.twilio.com for the Twilio Services APIs and https://status.sendgrid.com for the SendGrid Services API.",0,1,0,0,0,0,0,0,0,1
"Customer has the right, exercisable no more than once (1) per calendar month during the time period in which Customer has purchased the Email Strategy - Gold, Enterprise Program Management, or Enterprise Program Management & Strategy package, to request a report from Twilio indicating the Successful Connection Rate applicable to Customer’s email sends during the previous thirty (30) days.",0,1,0,0,0,0,1,0,1,0
"To receive a Service Credit, Customer must submit a request to Customer Support via https://www.twilio.com/help/contact for the Twilio Services APIs and https://support.sendgrid.com for the SendGrid Services API within thirty (30) days from the last day of the calendar month in which Customer claims Twilio failed to meet the applicable Monthly Uptime Percentage Threshold or achieve a Successful Connection Rate.",0,0,0,0,1,1,0,1,0,0
"All submissions must include: (a) “SLA Claim” as the subject of the ticket; (b) the dates and times of (i) Unavailable Monthly Time calculated based on the status page available at https://status.twilio.com for the Twilio Services APIs and https://status.sendgrid.com for the SendGrid Services API or (ii) the failure to achieve a Successful Connection Rate; and (c) any documentation of the Unavailable Monthly Time or failure to achieve a Successful Connection Rate.",0,0,0,0,0,1,0,1,0,0
"Any Service Credit will be applied to future amounts payable by Customer to Twilio for the Services APIs.",0,0,0,0,1,0,0,0,0,1
"Service Credits are not available in the form of refunds.",0,0,0,0,1,0,0,0,0,1
"Notwithstanding anything to the contrary in this Agreement, no Unavailable Monthly Time will be deemed to have occurred if it: (a) is caused by factors outside of Twilio’s reasonable control, including, without limitation, telecommunications provider-related problems or issues, Internet access or related problems occurring beyond the point in the network where Twilio maintains access and control over the Services APIs; (b) results from any actions or inactions of Customer or any third party (except for Twilio’s agents and subcontractors); (c) results from any Customer Application(s), Customer’s equipment, software, or other technology, add-on services, or third-party equipment, software, or other technology (except for equipment within Twilio’s direct control); (d) occurs during Twilio’s scheduled maintenance for which Twilio will provide at least twenty-four (24) hours prior notice; (e) occurs during Twilio’s emergency maintenance (maintenance that is necessary for purposes of maintaining the integrity or operation of the Services APIs), regardless of the notice provided by Twilio; (f) results from any Services APIs that are identified as alpha, beta, not generally available, limited release, developer preview, or any similar Services APIs offered by Twilio; or (g) is less than five (5) minutes of continuous unavailability in duration (collectively, “Excluded Monthly Times”).",0,0,0,0,0,0,1,0,0,1
"This SLA will not apply to any services or application programming interfaces branded as “Segment” or “Twilio Segment” (“Segment Services”).",0,0,0,0,0,0,1,0,0,1
"The service level agreement for the Segment Services is available at https://www.segment.com/legal/sla.",0,0,0,0,0,0,0,0,0,1
"The Service Credits set forth in this SLA are Twilio’s sole and entire liability to Customer, and Customer’s sole and exclusive remedy, for Twilio’s failure to meet any Monthly Uptime Percentage Threshold or achieve any Successful Connection Rate.  ",0,0,0,0,1,0,0,1,0,0
"Twilio may update this SLA from time to time.",0,0,0,0,0,0,0,0,1,0
"The then-current terms of this SLA are available at https://www.twilio.com/legal/service-level-agreement.",0,0,0,0,0,0,0,0,0,1
